,word,frequency,n_characters,romanized_form
複製權,複製權,3,9,fùzhìquán
阿明,阿明,2,5,āmíng
阿德南,阿德南,3,6,ādénán
總幹事,總幹事,3,10,zǒnggànshì
軒然大波,軒然大波,4,11,xuānrándàbō
逮捕,逮捕,2,5,dàibǔ
耍,耍,1,4,shuǎ
把戲,把戲,2,4,bǎxì
穿越,穿越,2,8,chuānyuè
纜車,纜車,2,6,lǎnchē
奧恩,奧恩,2,4,àoēn
哈里裡,哈里裡,3,6,hālǐlǐ
敵對,敵對,2,5,díduì
派系,派系,2,5,pàixì
親密,親密,2,5,qīnmì
丈夫,丈夫,2,7,zhàngfū
赦免,赦免,2,7,shèmiǎn
里奇,里奇,2,4,lǐqí
過多,過多,2,6,guòduō
再生,再生,2,8,zàishēng
能源署,能源署,3,11,néngyuánshǔ
害人,害人,2,6,hàirén
襲擊,襲擊,2,4,xíjī
新一,新一,2,5,xīnyī
進球,進球,2,6,jìnqiú
政壇,政壇,2,8,zhèngtán
老手,老手,2,7,lǎoshǒu
石油,石油,2,6,shíyóu
像是,像是,2,8,xiàngshì
小麥,小麥,2,7,xiǎomài
食用,食用,2,7,shíyòng
幾十億,幾十億,3,7,jǐshíyì
球,球,1,3,qiú
創下,創下,2,9,chuàngxià
足協,足協,2,5,zúxié
藉記卡,藉記卡,3,6,jíjìkǎ
高激光束,高激光束,4,13,gāojīguāngshù
埃森,埃森,2,5,āisēn
退休,退休,2,6,tuìxiū
死掉,死掉,2,6,sǐdiào
旁,旁,1,4,páng
袖手旁觀,袖手旁觀,4,15,xiùshǒupángguān
舊款,舊款,2,7,jiùkuǎn
謠言,謠言,2,6,yáoyán
鍵盤,鍵盤,2,7,jiànpán
上方,上方,2,9,shàngfāng
窄窄,窄窄,2,8,zhǎizhǎi
代替,代替,2,5,dàitì
傑登,傑登,2,7,jiédēng
穆罕默德,穆罕默德,4,9,mùhǎnmòdé
血,血,1,3,xuè
孤獨,孤獨,2,4,gūdú
寂寞,寂寞,2,4,jìmò
請求,請求,2,7,qǐngqiú
否決,否決,2,6,fǒujué
宗主國,宗主國,3,10,zōngzhǔguó
隻,隻,1,3,zhī
失去,失去,2,5,shīqù
相鄰,相鄰,2,8,xiānglín
意識,意識,2,5,yìshí
無視,無視,2,5,wúshì
構成,構成,2,8,gòuchéng
分割,分割,2,5,fēngē
剩下,剩下,2,8,shèngxià
警察們,警察們,3,10,jǐngchámen
早晨,早晨,2,7,zǎochén
製服,製服,2,5,zhìfú
沙特阿拉伯國,沙特阿拉伯國,6,13,shātèālābóguó
薩勒曼,薩勒曼,3,8,sàlēimàn
監管局,監管局,3,10,jiānguǎnjú
局長,局長,2,7,júzhǎng
觸控,觸控,2,7,chùkòng
總投票額,總投票額,4,12,zǒngtóupiàoé
本機,本機,2,5,běnjī
現金流,現金流,3,10,xiànjīnliú
魔幻,魔幻,2,6,móhuàn
風琴,風琴,2,7,fēngqín
奏起,奏起,2,5,zòuqǐ
熱曲,熱曲,2,4,rèqū
土豆,土豆,2,5,tǔdòu
怪獸,怪獸,2,8,guàishòu
博伊,博伊,2,4,bóyī
斯特,斯特,2,4,sītè
繁殖期,繁殖期,3,8,fánzhíqī
西蒙,西蒙,2,6,xīméng
破舊,破舊,2,5,pòjiù
危險,危險,2,7,wēixiǎn
軍營,軍營,2,7,jūnyíng
規劃區,規劃區,3,8,guīhuàqū
停止,停止,2,7,tíngzhǐ
群,群,1,3,qún
鴨子,鴨子,2,4,yāzi
款,款,1,4,kuǎn
質詢,質詢,2,6,zhìxún
周報,周報,2,7,zhōubào
下地,下地,2,5,xiàdì
行走,行走,2,7,xíngzǒu
帕克,帕克,2,4,pàkè
安全局,安全局,3,8,ānquánjú
特工,特工,2,6,tègōng
活躍,活躍,2,6,huóyuè
選舉日,選舉日,3,8,xuǎnjǔrì
普查局,普查局,3,7,pǔchájú
生效,生效,2,9,shēngxiào
北約,北約,2,6,běiyuē
撤出,撤出,2,6,chèchū
撤銷,撤銷,2,7,chèxiāo
製裁,製裁,2,6,zhìcái
制裁,制裁,2,6,zhìcái
辭職,辭職,2,5,cízhí
此事,此事,2,5,cǐshì
對外,對外,2,6,duìwài
陳腐,陳腐,2,6,chénfǔ
自滿,自滿,2,5,zìmǎn
庫恩,庫恩,2,4,kùēn
只好,只好,2,6,zhǐhǎo
搖搖頭,搖搖頭,3,9,yáoyáotóu
激活,激活,2,5,jīhuó
著裝,著裝,2,9,zhùzhuāng
快拍,快拍,2,7,kuàipāi
山景城,山景城,3,13,shānjǐngchéng
峰會,峰會,2,7,fēnghuì
自治區,自治區,3,7,zìzhìqū
保守,保守,2,7,bǎoshǒu
沉悶,沉悶,2,7,chénmèn
副部長,副部長,3,9,fùbùzhǎng
引以為豪,引以為豪,4,11,yǐnyǐwèiháo
財務長,財務長,3,10,cáiwùzhǎng
失業率,失業率,3,7,shīyèlǜ
頭,頭,1,3,tóu
以下,以下,2,5,yǐxià
新工作,新工作,3,10,xīngōngzuò
俱樂部,俱樂部,3,6,jùlèbù
昂揚,昂揚,2,7,ángyáng
廢除,廢除,2,6,fèichú
特斯拉,特斯拉,3,6,tèsīlā
佔有量,佔有量,3,12,zhànyǒuliàng
第四,第四,2,4,dìsì
美孚,美孚,2,5,měifú
合適,合適,2,5,héshì
前部長,前部長,3,11,qiánbùzhǎng
退黨,退黨,2,7,tuìdǎng
課上,課上,2,7,kèshàng
教授,教授,2,8,jiàoshòu
方濟各,方濟各,3,8,fāngjìgè
聖瑪爾塔,聖瑪爾塔,4,11,shèngmǎěrtǎ
扎克伯格,扎克伯格,4,9,zhākèbógé
髮明,髮明,2,6,fàmíng
司機,司機,2,4,sījī
讀心,讀心,2,5,dúxīn
頭盔,頭盔,2,6,tóukuī
實例,實例,2,5,shílì
羅西,羅西,2,5,luóxī
擬人,擬人,2,5,nǐrén
機器人,機器人,3,7,jīqìrén
回報,回報,2,6,huíbào
章節,章節,2,8,zhāngjié
董事會,董事會,3,10,dǒngshìhuì
前所未有,前所未有,4,13,qiánsuǒwèiyǒu
華爾街,華爾街,3,8,huáěrjiē
矽谷,矽谷,2,4,xìgǔ
亞馬遜,亞馬遜,3,7,yàmǎxùn
對付,對付,2,5,duìfù
污染物,污染物,3,7,wūrǎnwù
手法,手法,2,6,shǒufǎ
西部片,西部片,3,8,xībùpiàn
印第安,印第安,3,7,yìndìān
打人,打人,2,5,dǎrén
場景,場景,2,9,chǎngjǐng
街,街,1,3,jiē
切合,切合,2,5,qièhé
諷刺,諷刺,2,6,fěngcì
暗諷,暗諷,2,6,ànfěng
巧妙,巧妙,2,8,qiǎomiào
口頭,口頭,2,6,kǒutóu
修辭,修辭,2,5,xiūcí
燙手,燙手,2,8,tàngshǒu
演講,演講,2,8,yǎnjiǎng
調笑,調笑,2,8,diàoxiào
表演,表演,2,7,biǎoyǎn
堅信,堅信,2,7,jiānxìn
飛逝,飛逝,2,6,fēishì
街區,街區,2,5,jiēqū
結合水,結合水,3,9,jiéhéshuǐ
洶湧,洶湧,2,9,xiōngyǒng
眼淚,眼淚,2,6,yǎnlèi
眼睛,眼睛,2,7,yǎnjīng
美麗,美麗,2,5,měilì
戰爭片,戰爭片,3,13,zhànzhēngpiàn
笑,笑,1,4,xiào
逗,逗,1,3,dòu
本事,本事,2,6,běnshì
山芋,山芋,2,6,shānyù
暫時,暫時,2,6,zànshí
秘書長,秘書長,3,10,mìshūzhǎng
科斯佩達爾,科斯佩達爾,5,11,kēsīpèidáěr
昨天,昨天,2,7,zuótiān
傳達,傳達,2,7,chuándá
唯一,唯一,2,5,wéiyī
萬民,萬民,2,6,wànmín
邦,邦,1,4,bāng
權力派,權力派,3,9,quánlìpài
呢,呢,1,2,ne
費德里克,費德里克,4,9,fèidélǐkè
費里尼,費里尼,3,7,fèilǐní
小丑,小丑,2,8,xiǎochǒu
人性,人性,2,7,rénxìng
如同,如同,2,6,rútóng
影子,影子,2,6,yǐngzi
常人,常人,2,8,chángrén
拿出,拿出,2,5,náchū
央行,央行,2,8,yāngháng
怠慢,怠慢,2,6,dàimàn
報價,報價,2,6,bàojià
內政,內政,2,8,nèizhèng
市長,市長,2,8,shìzhǎng
監督,監督,2,6,jiāndū
喬治城,喬治城,3,12,qiáozhìchéng
瑞啟達,瑞啟達,3,7,ruìqǐdá
達利,達利,2,4,dálì
薩科齊,薩科齊,3,6,sàkēqí
前司法部,前司法部,4,10,qiánsīfǎbù
譴責,譴責,2,6,qiǎnzé
布里斯,布里斯,3,6,bùlǐsī
奧爾特弗,奧爾特弗,4,8,àoěrtèfú
成本,成本,2,8,chéngběn
暴徒,暴徒,2,5,bàotú
成績,成績,2,7,chéngjī
限度,限度,2,6,xiàndù
即便,即便,2,6,jíbiàn
耗,耗,1,3,hào
物品,物品,2,5,wùpǐn
辦公桌,辦公桌,3,11,bàngōngzhuō
總工會,總工會,3,11,zǒnggōnghuì
手冊,手冊,2,6,shǒucè
涵蓋,涵蓋,2,6,hángài
吉拉德,吉拉德,3,6,jílādé
諮詢,諮詢,2,5,zīxún
緊急,緊急,2,5,jǐnjí
加龍,加龍,2,7,jiālóng
聖戈當,聖戈當,3,11,shènggēdāng
議員票,議員票,3,10,yìyuánpiào
改善會,改善會,3,10,gǎishànhuì
小孩子,小孩子,3,9,xiǎoháizi
可行性,可行性,3,10,kěxíngxìng
青少年,青少年,3,12,qīngshàonián
大腦,大腦,2,5,dànǎo
長期,長期,2,7,zhǎngqī
損傷,損傷,2,8,sǔnshāng
國家級,國家級,3,8,guójiājí
遺產,遺產,2,6,yíchǎn
列,列,1,3,liè
首要,首要,2,7,shǒuyào
任務,任務,2,5,rènwù
不足為奇,不足為奇,4,9,bùzúwèiqí
科密,科密,2,4,kēmì
斯頓雷,斯頓雷,3,8,sīdùnléi
嘲笑,嘲笑,2,8,cháoxiào
賬號,賬號,2,8,zhànghào
核,核,1,2,hé
流程,流程,2,8,liúchéng
講話,講話,2,8,jiǎnghuà
改進,改進,2,6,gǎijìn
餘地,餘地,2,4,yúdì
正義,正義,2,7,zhèngyì
保守派,保守派,3,10,bǎoshǒupài
制定,制定,2,7,zhìdìng
客戶家,客戶家,3,7,kèhùjiā
包含,包含,2,6,bāohán
竟然,竟然,2,7,jìngrán
絕對,絕對,2,6,juéduì
大熱,大熱,2,4,dàrè
演唱,演唱,2,8,yǎnchàng
老年人,老年人,3,10,lǎoniánrén
花完,花完,2,6,huāwán
抵價券,抵價券,3,9,dǐjiàquàn
生成,生成,2,10,shēngchéng
櫃檯,櫃檯,2,6,guìtái
出示,出示,2,6,chūshì
汽油,汽油,2,5,qìyóu
增值稅,增值稅,3,11,zēngzhíshuì
首位,首位,2,7,shǒuwèi
講到,講到,2,8,jiǎngdào
優,優,1,3,yōu
歐元區,歐元區,3,8,ōuyuánqū
單一,單一,2,5,dānyī
貨幣,貨幣,2,5,huòbì
科朵拉,科朵拉,3,7,kēduǒlā
帕塞拉,帕塞拉,3,7,pàsāilā
開業,開業,2,5,kāiyè
里程,里程,2,7,lǐchéng
時長,時長,2,8,shízhǎng
地鐵,地鐵,2,5,dìtiě
提交,提交,2,6,tíjiāo
上訴,上訴,2,7,shàngsù
扣除,扣除,2,6,kòuchú
地鐵站,地鐵站,3,9,dìtiězhàn
左右,左右,2,6,zuǒyòu
文件,文件,2,7,wénjiàn
議案,議案,2,4,yìàn
數碼,數碼,2,5,shùmǎ
費加羅報,費加羅報,4,12,fèijiāluóbào
省出,省出,2,8,shěngchū
城際,城際,2,7,chéngjì
安保,安保,2,5,ānbǎo
名聲,名聲,2,9,míngshēng
太好,太好,2,6,tàihǎo
安塞密爾,安塞密爾,4,9,ānsāimìěr
威尼托,威尼托,3,8,wēinítuō
自由堡,自由堡,3,8,zìyóubǎo
軍人,軍人,2,6,jūnrén
密切,密切,2,5,mìqiè
安賽密爾,安賽密爾,4,9,ānsàimìěr
教師,教師,2,7,jiàoshī
紡織業,紡織業,3,9,fǎngzhīyè
因素,因素,2,5,yīnsù
演唱會,演唱會,3,11,yǎnchànghuì
深圳市,深圳市,3,11,shēnzhènshì
春曉,春曉,2,8,chūnxiǎo
電動,電動,2,8,diàndòng
商業化,商業化,3,10,shāngyèhuà
哈雷,哈雷,2,5,hāléi
戴維森,戴維森,3,9,dàiwéisēn
盛傳,盛傳,2,10,shèngchuán
大事,大事,2,5,dàshì
年表,年表,2,8,niánbiǎo
准確,准確,2,7,zhǔnquè
股票,股票,2,6,gǔpiào
期貨,期貨,2,5,qīhuò
升幅,升幅,2,7,shēngfú
百分點,百分點,3,10,bǎifēndiǎn
齊平,齊平,2,6,qípíng
售出,售出,2,7,shòuchū
鼎力,鼎力,2,6,dǐnglì
累積如山,累積如山,4,11,lèijīrúshān
保護局,保護局,3,7,bǎohùjú
浮出,浮出,2,5,fúchū
水面,水面,2,8,shuǐmiàn
中國人,中國人,3,11,zhōngguórén
炸雞,炸雞,2,5,zhàjī
筆記本,筆記本,3,7,bǐjìběn
寒風,寒風,2,7,hánfēng
凜冬,凜冬,2,7,lǐndōng
自負,自負,2,4,zìfù
傲慢,傲慢,2,5,àomàn
有權,有權,2,7,yǒuquán
有勢,有勢,2,6,yǒushì
喜怒無常,喜怒無常,4,11,xǐnùwúcháng
性格,性格,2,6,xìnggé
有害,有害,2,6,yǒuhài
無益,無益,2,4,wúyì
提前,提前,2,6,tíqián
佛羅里達州,佛羅里達州,5,13,fúluólǐdázhōu
投,投,1,3,tóu
之所以,之所以,3,8,zhīsuǒyǐ
整體,整體,2,7,zhěngtǐ
早些,早些,2,6,zǎoxiē
寫完,寫完,2,6,xiěwán
廣受,廣受,2,9,guǎngshòu
叢書,叢書,2,7,cóngshū
胃口,胃口,2,6,wèikǒu
屁股,屁股,2,4,pìgǔ
喜愛,喜愛,2,4,xǐài
百勝,百勝,2,8,bǎishèng
沒看,沒看,2,6,méikàn
響,響,1,5,xiǎng
尼根,尼根,2,5,nígēn
杰弗裡,杰弗裡,3,7,jiéfúlǐ
迪恩,迪恩,2,4,díēn
摩根,摩根,2,5,mógēn
飾演,飾演,2,6,shìyǎn
些許,些許,2,5,xiēxǔ
諾曼,諾曼,2,6,nuòmàn
好朋友,好朋友,3,10,hǎopéngyǒu
情感,情感,2,7,qínggǎn
不佳,不佳,2,5,bùjiā
難受,難受,2,7,nánshòu
脫口秀,脫口秀,3,9,tuōkǒuxiù
閒話,閒話,2,7,xiánhuà
加劇,加劇,2,5,jiājù
物語,物語,2,4,wùyǔ
怪奇,怪奇,2,6,guàiqí
夫婦,夫婦,2,4,fūfù
餐飲,餐飲,2,6,cānyǐn
肯德基,肯德基,3,7,kěndéjī
母,母,1,2,mǔ
扭,扭,1,3,niǔ
堆,堆,1,3,duī
該案,該案,2,5,gāiàn
打到,打到,2,5,dǎdào
深愛,深愛,2,6,shēnài
廢話,廢話,2,6,fèihuà
勉強,勉強,2,9,miǎnqiáng
參與者,參與者,3,8,cānyǔzhě
愛侶,愛侶,2,4,àilǚ
米爾德里德,米爾德里德,5,10,mǐěrdélǐdé
省略,省略,2,8,shěnglüè
求婚,求婚,2,6,qiúhūn
簡短,簡短,2,8,jiǎnduǎn
威脅,威脅,2,6,wēixié
粉絲,粉絲,2,5,fěnsī
最低,最低,2,5,zuìdī
有史,有史,2,6,yǒushǐ
投票數,投票數,3,10,tóupiàoshù
閱讀,閱讀,2,5,yuèdú
季,季,1,2,jì
尼羅河,尼羅河,3,7,níluóhé
英雄,英雄,2,9,yīngxióng
說話,說話,2,7,shuōhuà
範疇,範疇,2,7,fànchóu
吉瑪,吉瑪,2,4,jímǎ
殺戮,殺戮,2,5,shālù
強烈,強烈,2,8,qiángliè
慾望,慾望,2,6,yùwàng
黑暗,黑暗,2,5,hēiàn
桑德蘭,桑德蘭,3,9,sāngdélán
或許,或許,2,5,huòxǔ
離,離,1,2,lí
卡普蘭,卡普蘭,3,7,kǎpǔlán
恐懼,恐懼,2,6,kǒngjù
不遠,不遠,2,6,bùyuǎn
倒退,倒退,2,6,dàotuì
回,回,1,3,huí
七十,七十,2,5,qīshí
短絨,短絨,2,8,duǎnróng
加,加,1,3,jiā
外層,外層,2,7,wàicéng
氾濫,氾濫,2,6,fànlàn
古怪,古怪,2,6,gǔguài
不願,不願,2,6,bùyuàn
觀賞,觀賞,2,9,guānshǎng
特製,特製,2,5,tèzhì
鮑勃,鮑勃,2,5,bàobó
影印版,影印版,3,10,yǐngyìnbǎn
停歇,停歇,2,7,tíngxiē
製造機,製造機,3,8,zhìzàojī
似,似,1,3,shì
草稿,草稿,2,6,cǎogǎo
看見,看見,2,7,kànjiàn
作戰,作戰,2,7,zuòzhàn
排字版,排字版,3,8,páizìbǎn
殺掉,殺掉,2,7,shādiào
基金會,基金會,3,8,jījīnhuì
功績,功績,2,6,gōngjī
其它,其它,2,4,qítā
醫護,醫護,2,4,yīhù
全副,全副,2,6,quánfù
理智,理智,2,5,lǐzhì
法老王,法老王,3,9,fǎlǎowáng
美利肯,美利肯,3,8,měilìkěn
表面,表面,2,8,biǎomiàn
熬夜,熬夜,2,4,áoyè
近幾,近幾,2,5,jìnjǐ
具,具,1,2,jù
盲目,盲目,2,6,mángmù
點開,點開,2,7,diǎnkāi
附件,附件,2,6,fùjiàn
複興,複興,2,6,fùxìng
漏洞,漏洞,2,7,lòudòng
惡意,惡意,2,3,èyì
白色,白色,2,5,báisè
瘋傳,瘋傳,2,9,fēngchuán
底下,底下,2,5,dǐxià
極低,極低,2,4,jídī
新目標,新目標,3,9,xīnmùbiāo
國土,國土,2,5,guótǔ
清晰度,清晰度,3,8,qīngxīdù
動員,動員,2,8,dòngyuán
登記,登記,2,6,dēngjì
名單,名單,2,7,míngdān
毫無,毫無,2,5,háowú
神經,神經,2,8,shénjīng
混亂,混亂,2,7,hùnluàn
夠多,夠多,2,6,gòuduō
北卡羅來納州,北卡羅來納州,6,17,běikǎluóláinàzhōu
衡量,衡量,2,9,héngliáng
法規,法規,2,5,fǎguī
不適,不適,2,5,bùshì
觸,觸,1,3,chù
南銀,南銀,2,6,nányín
聘請,聘請,2,7,pìnqǐng
室內,室內,2,6,shìnèi
守護者們,守護者們,4,12,shǒuhùzhěmen
瑞秋,瑞秋,2,6,ruìqiū
溫漢,溫漢,2,6,wēnhàn
公寓,公寓,2,6,gōngyù
痴迷,痴迷,2,5,chīmí
緊密,緊密,2,5,jǐnmì
遵守,遵守,2,7,zūnshǒu
培育,培育,2,5,péiyù
精心,精心,2,7,jīngxīn
受審,受審,2,8,shòushěn
謀殺罪,謀殺罪,3,9,móushāzuì
擾亂,擾亂,2,7,rǎoluàn
柏拉圖,柏拉圖,3,7,bǎilātú
罪,罪,1,3,zuì
高等,高等,2,7,gāoděng
鎮定,鎮定,2,8,zhèndìng
行屍,行屍,2,7,xíngshī
扮演者,扮演者,3,9,bànyǎnzhě
呼籲者,呼籲者,3,7,hūyùzhě
死者,死者,2,5,sǐzhě
界限,界限,2,7,jièxiàn
印度人,印度人,3,8,yìndùrén
眼中,眼中,2,8,yǎnzhōng
年老,年老,2,7,niánlǎo
教堂山,教堂山,3,12,jiàotángshān
胡安,胡安,2,4,húān
希爾斯堡,希爾斯堡,4,9,xīěrsībǎo
薩拉斯,薩拉斯,3,6,sàlāsī
懸而未決,懸而未決,4,12,xuánérwèijué
外表,外表,2,7,wàibiǎo
看來,看來,2,6,kànlái
雕塑,雕塑,2,6,diāosù
含義,含義,2,5,hányì
已故,已故,2,4,yǐgù
記憶,記憶,2,4,jìyì
永保,永保,2,7,yǒngbǎo
鮮活,鮮活,2,7,xiānhuó
憲章,憲章,2,9,xiànzhāng
創立,創立,2,8,chuànglì
月亮,月亮,2,8,yuèliàng
橋樑,橋樑,2,9,qiáoliáng
鎮區,鎮區,2,6,zhènqū
巴拉特,巴拉特,3,6,bālātè
轟炸,轟炸,2,7,hōngzhà
碼頭,碼頭,2,5,mǎtóu
註冊,註冊,2,5,zhùcè
精確,精確,2,7,jīngquè
計時,計時,2,5,jìshí
大放,大放,2,6,dàfàng
異彩,異彩,2,5,yìcǎi
絕佳,絕佳,2,6,juéjiā
時間段,時間段,3,11,shíjiānduàn
應對,應對,2,7,yīngduì
高樓,高樓,2,6,gāolóu
夢幻,夢幻,2,8,mènghuàn
曼谷,曼谷,2,5,màngǔ
大京都,大京都,3,8,dàjīngdū
坎貝爾,坎貝爾,3,8,kǎnbèiěr
英尺,英尺,2,7,yīngchǐ
深,深,1,4,shēn
法案,法案,2,4,fǎàn
最深,最深,2,7,zuìshēn
時尚,時尚,2,8,shíshàng
談,談,1,3,tán
北卡羅萊納州,北卡羅萊納州,6,17,běikǎluóláinàzhōu
拉到,拉到,2,5,lādào
商人,商人,2,8,shāngrén
行會,行會,2,7,xínghuì
途經,途經,2,6,tújīng
塞舌爾,塞舌爾,3,8,sāishéěr
刁曼島,刁曼島,3,10,diāomàndǎo
火山岩,火山岩,3,10,huǒshānyán
聖赫勒拿島,聖赫勒拿島,5,15,shènghèlēinádǎo
加利福尼亞州,加利福尼亞州,6,15,jiālìfúníyàzhōu
離岸,離岸,2,4,líàn
小島嶼,小島嶼,3,9,xiǎodǎoyǔ
反饋,反饋,2,6,fǎnkuì
荒島,荒島,2,8,huāngdǎo
相關者,相關者,3,12,xiāngguānzhě
行業,行業,2,6,xíngyè
輕視,輕視,2,7,qīngshì
塞西亞,塞西亞,3,7,sāixīyà
派對,派對,2,6,pàiduì
一旦,一旦,2,5,yídàn
傳遍,傳遍,2,9,chuánbiàn
審美,審美,2,7,shěnměi
要道,要道,2,6,yàodào
麥加拉,麥加拉,3,8,màijiālā
自身,自身,2,6,zìshēn
拜占廷,拜占廷,3,11,bàizhàntíng
擁抱,擁抱,2,7,yōngbào
花崗岩,花崗岩,3,10,huāgǎngyán
馬爾代夫,馬爾代夫,4,9,mǎěrdàifū
印度洋,印度洋,3,9,yìndùyáng
鈷礦,鈷礦,2,7,gǔkuàng
稅費,稅費,2,7,shuìfèi
尤,尤,1,3,yóu
豐富,豐富,2,6,fēngfù
蘊含,蘊含,2,6,yùnhán
重力,重力,2,7,zhònglì
鑽石,鑽石,2,7,zuānshí
錳礦,錳礦,2,9,měngkuàng
鉛礦,鉛礦,2,9,qiānkuàng
鋅礦,鋅礦,2,8,xīnkuàng
鎳礦,鎳礦,2,8,nièkuàng
鉬礦,鉬礦,2,7,mùkuàng
科研,科研,2,5,kēyán
極西北,極西北,3,7,jíxīběi
圓環,圓環,2,8,yuánhuán
泰加林,泰加林,3,9,tàijiālín
赤道,赤道,2,6,chìdào
覆蓋,覆蓋,2,5,fùgài
西伯利亞,西伯利亞,4,8,xībólìyà
大學生,大學生,3,10,dàxuéshēng
碎片,碎片,2,7,suìpiàn
雅茨克,雅茨克,3,6,yǎcíkè
奢侈品,奢侈品,3,9,shēchǐpǐn
亞斯,亞斯,2,4,yàsī
音樂會,音樂會,3,8,yīnlèhuì
門票,門票,2,7,ménpiào
體制,體制,2,5,tǐzhì
定制,定制,2,7,dìngzhì
迷因,迷因,2,5,míyīn
貼紙,貼紙,2,6,tiēzhǐ
連接,連接,2,7,liánjiē
簡訊,簡訊,2,7,jiǎnxùn
舉動,舉動,2,6,jǔdòng
期望,期望,2,6,qīwàng
看看,看看,2,6,kànkàn
生產率,生產率,3,11,shēngchǎnlǜ
場所,場所,2,8,chǎngsuǒ
牠們,牠們,2,5,tāmen
打成,打成,2,7,dǎchéng
平局,平局,2,6,píngjú
挺進,挺進,2,7,tǐngjìn
決定性,決定性,3,11,juédìngxìng
抹殺,抹殺,2,5,mǒshā
伊斯內爾,伊斯內爾,4,9,yīsīnèiěr
致敬,致敬,2,7,zhìjìng
道賀,道賀,2,5,dàohè
相似性,相似性,3,11,xiāngsìxìng
蘇拉,蘇拉,2,4,sūlā
惡作劇,惡作劇,3,6,èzuòjù
動態圖,動態圖,3,9,dòngtàitú
表情,表情,2,8,biǎoqíng
較量,較量,2,9,jiàoliàng
當局,當局,2,6,dāngjú
感受,感受,2,7,gǎnshòu
單位,單位,2,6,dānwèi
人意,人意,2,5,rényì
驅動力,驅動力,3,8,qūdònglì
善解,善解,2,7,shànjiě
猶豫,猶豫,2,5,yóuyù
要不要,要不要,3,8,yàobùyào
過世,過世,2,6,guòshì
註銷,註銷,2,7,zhùxiāo
卡雷爾,卡雷爾,3,7,kǎléiěr
展開,展開,2,7,zhǎnkāi
刻薄,刻薄,2,4,kèbó
追踪,追踪,2,8,zhuīzōng
無人機,無人機,3,7,wúrénjī
微軟,微軟,2,7,wēiruǎn
公佈,公佈,2,6,gōngbù
夫人,夫人,2,5,fūrén
軟件,軟件,2,8,ruǎnjiàn
工業界,工業界,3,9,gōngyèjiè
寵兒,寵兒,2,7,chǒngér
持久,持久,2,6,chíjiǔ
執政,執政,2,8,zhízhèng
賽車,賽車,2,6,sàichē
蹩腳,蹩腳,2,7,biéjiǎo
匹敵,匹敵,2,4,pǐdí
創意,創意,2,8,chuàngyì
總監,總監,2,8,zǒngjiān
亞歷杭德羅,亞歷杭德羅,5,13,yàlìhángdéluó
辭令,辭令,2,6,cílìng
安娜亞,安娜亞,3,6,ānnàyà
察覺,察覺,2,6,chájué
上演,上演,2,8,shàngyǎn
好時機,好時機,3,8,hǎoshíjī
單,單,1,3,dān
志願者,志願者,3,10,zhìyuànzhě
阿納亞,阿納亞,3,5,ānàyà
奇特,奇特,2,4,qítè
挽救,挽救,2,6,wǎnjiù
新形式,新形式,3,10,xīnxíngshì
新傳統,新傳統,3,12,xīnchuántǒng
極好,極好,2,5,jíhǎo
交織,交織,2,7,jiāozhī
新老想法,新老想法,4,13,xīnlǎoxiǎngfǎ
困難,困難,2,6,kùnnán
磁浮線,磁浮線,3,8,cífúxiàn
憑藉,憑藉,2,6,píngjí
相,相,1,5,xiāng
狂歡節,狂歡節,3,12,kuánghuānjié
從來,從來,2,7,cónglái
玩笑,玩笑,2,7,wánxiào
採用,採用,2,7,cǎiyòng
很爛,很爛,2,6,hěnlàn
蒙混,蒙混,2,7,ménghùn
過關,過關,2,7,guòguān
經濟學家,經濟學家,4,12,jīngjìxuéjiā
跳過,跳過,2,7,tiàoguò
應,應,1,4,yīng
高柵欄,高柵欄,3,10,gāoshānlán
穀倉,穀倉,2,6,gǔcāng
賣掉,賣掉,2,7,màidiào
不一致,不一致,3,7,bùyīzhì
強尼,強尼,2,7,qiángní
似曾相識,似曾相識,4,15,shìcéngxiāngshí
拿,拿,1,2,ná
梯凳,梯凳,2,6,tīdèng
坐回,坐回,2,6,zuòhuí
面前,面前,2,8,miànqián
泥鞋,泥鞋,2,5,níxié
小男孩,小男孩,3,10,xiǎonánhái
下午,下午,2,5,xiàwǔ
周日,周日,2,6,zhōurì
心房,心房,2,7,xīnfáng
野獸,野獸,2,6,yěshòu
牛仔褲,牛仔褲,3,8,niúzǎikù
開發,開發,2,5,kāifā
有效,有效,2,7,yǒuxiào
防御,防御,2,6,fángyù
需,需,1,2,xū
技能,技能,2,6,jìnéng
脆弱,脆弱,2,6,cuìruò
外來,外來,2,6,wàilái
頭巾,頭巾,2,6,tóujīn
防火牆,防火牆,3,12,fánghuǒqiáng
奏效,奏效,2,7,zòuxiào
設置,設置,2,6,shèzhì
傻子,傻子,2,5,shǎzi
陷阱,陷阱,2,8,xiànjǐng
迷惑,迷惑,2,5,míhuò
威懾,威懾,2,6,wēishè
叫做,叫做,2,7,jiàozuò
角落,角落,2,7,jiǎoluò
分開,分開,2,6,fēnkāi
納粹,納粹,2,5,nàcuì
列表,列表,2,7,lièbiǎo
涉及,涉及,2,5,shèjí
心靈,心靈,2,7,xīnlíng
接近,接近,2,6,jiējìn
暖,暖,1,4,nuǎn
輕易,輕易,2,6,qīngyì
上限,上限,2,9,shàngxiàn
紐約市,紐約市,3,9,niǔyuēshì
